word,definition,translation
W,n. the 23rd letter of the Roman alphabet,"[计] 等待, 写, 字\n[医] 钨(74号元素)"
w hernia,,[医] 逆行性疝
W particle,,W粒子
W rays,,"[医] W射线, 居间射线"
W Va,,美国西弗吉尼亚州（West Virginia）
W W W,,[缩] World Weather Watch 世界天气监视网
w-b,,"abbr. Wilkes-Barre, Pennsylvania 宾夕法尼亚州维尔克斯-巴雷"
w-l,,abbr. wins-losses 胜-负
w-particle,,W粒子
w-particles,plural of w-particle,(w-particle 的复数) W粒子
W-reactive dye,,[化] W型反应染料; W型活性染料
W-reactive dyes,,[化] W型反应染料; W型活性染料
W-recative dyes,,[化] W型反应染料
w-s,, [医][=watt-seconds]瓦秒（焦耳-热量单位）
W-shaped,,[网络] W形
w-type engine,,"[机] W形发动机, 扇形发动机"
W.,,"[医] 韦内(X线硬度单位,X线穿透力单位)"
W. B. Yeats,,[网络] 叶芝；叶慈；威廉·巴特勒·叶芝
W. H. Auden,,[网络] 奥登；威斯坦·休·奥登；奥顿
W. H. Hudson,,[网络] 哈德森
W. H. O.,,[医] 世界卫生组织
W. K. Kellogg,,[网络] 克洛格基金会
W. L.,,[医] 波长
W. R.,,[医] 乏色曼氏反应(检梅毒)
W. Somerset Maugham,,[网络] 毛姆；威廉·萨默塞特·毛姆
W. V. Quine,,[网络] 威拉德·冯·奥曼·蒯因
W. W. Jacobs,,[网络] W. Jacobs
W.B.C.,,"[医] 白细胞, 白细胞计数"
W.C,,"盥洗室, 抽水马桶, 厕所, 免费"
w.c.,n a toilet in Britain,"盥洗室, 抽水马桶, 厕所, 免费\n[医] 冲水便桶, 厕所"
w.c.s,plural of w.c.\nn a toilet in Britain,"(w.c. 的复数) 盥洗室, 抽水马桶, 厕所, 免费\n[医] 冲水便桶, 厕所"
W.E.F.,,[医] 战时急用处方
W.German,,[经] 西德
W.Germany,,[经] 西德
W.M.D.,,[网络] 大规模杀伤性武器；殺伤性武器
w/c,,abbr. 已校正（with corrections）
w/m,," [计]= Words per Minute,每分钟字，字/分"
w/m list,,[经] 重量或体积单(表)
w/m per ton,,[经] 运费每吨按重量或容积计
w/o,," [计]= Write or Out,写或输出"
w/v,,[医] 重/容
w/w,, [医][=weight in weight]重量重量比
W3,,[计] WWW浏览器(World Wide Web)
wa,n a state in northwestern United States on the Pacific,abbr. 华盛顿州（Washington State）；担保单独海损（with average）
waa,,abbr. wartime aircraft activity 战时飞机活动; welded aluminum alloy 焊制铝合金; with added adhesive 具有增强的黏附性
Waadt,,瓦特州[瑞士州名]
WAAF,,abbr. （英）空军妇女辅助队（Women's Auxiliary Air Force）
Waagenophyllidae,,卫根珊瑚科
Waal,,n. 瓦尔河
waals,,（荷兰物理学家；曾获1910年诺贝尔物理学奖）瓦尔斯（姓氏）
waas,,abbr. wide area augmentation system 广域（全球定位系统）增强系统; World Academy of Art and Science 世界艺术与科学学会
wab,,abbr. Western Academy of Beijing（北京京西学校）
wabain,,[医] 苦毒毛旋花子甙
wabash,n. a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana,n. 沃巴什（河流名）
Wabash River,,[网络] 巴什河；巴须河；瓦巴希河
wabasha,, [地名] [美国] 瓦巴肖
wabble,"v. i. To move staggeringly or unsteadily from one side to the\n   other; to vacillate; to move the manner of a rotating disk when the\n   axis of rotation is inclined to that of the disk; -- said of a turning\n   or whirling body; as, a top wabbles; a buzz saw wabbles.\nn. A hobbling, unequal motion, as of a wheel unevenly hung; a\n   staggering to and fro.","n. 摇晃, 犹豫"
wabble saw,,[机] 起槽锯
wabbled,,"摇晃, 犹豫( wabble的过去式和过去分词 )"
wabbler,,摇动器; 梅花头
wabbles,,"摇晃, 犹豫( wabble的名词复数 )"
wabbliness,,n. wabbly的变形
wabbly,a. Inclined to wabble; wabbling.,"a. 摆动的, 不稳定的"
wabc,,abbr. Westinghouse Air Brake Co. <美>威斯汀豪斯气闸公司
Wabenzi,,n. <谑>瓦本茨人
wabi,,abbr. Windows application binary interface Windows （操作系统）应用程序二进制接口
wabo,, [地名] [巴布亚新几内、索马里] 瓦博
