word,definition,translation
H,n. the 8th letter of the Roman alphabet,"[计] 硬件, 高度, 水平, 主机\n[医] 氢(1号元素), 亨[利](电感单位)"
H acid,,"[化] H酸\n[医] H酸(1-氨基-3,6-二碳酸萘酚)"
H agglutination,,[医] 鞭毛凝集
H agglutinin,,[医] 鞭毛凝集素
H antigen,,"[医] H抗原, 能动型抗原, 鞭毛抗原"
h attenuetor,,[电] 见H network
H channel,,[计] H通道
H colony,,[医] H菌落(能动型菌落)
H descriptor,,[计] 何勒内斯描述符
H factor,,[医] 生物素
h hacksaw,,"[机] 弓锯, 锯铁锯"
H hour,,进攻发起时间
h network,,[电] H型网路
h pad,,[电] H型网路
h parameter,,[电] h参数
h plane,,[电] H平面
H rays,,[医] 氢核束
H substance,,"[医] H物质, 释放物质"
H&E.,,[医] 苏木精曙红染剂
h'm,,interj. 哼
h-bend,,[电] H屈折
h-block,, 调整间隙垫板
h-blocks,plural of h-block,(h-block 的复数)  调整间隙垫板
H-bomb,n a nuclear weapon that releases atomic energy by union of light (hydrogen) nuclei at high temperatures to form helium,n. 氢弹
H-bombs,n. a nuclear weapon that releases atomic energy by union of light (hydrogen) nuclei at high temperatures to form helium,n. = hydrogen bomb\nvt. 用氢弹轰炸(攻击)
h-d,,abbr. heavy-duty 关税重的; 重型的; high-density 高密度; 大密度
h-display,,[电] H显示法
H-film,,[化] H膜
H-hour,,n. 攻击开始时刻
h-index,, h指数
h-k,, [医][=hand to knee distance]手膝距离
H-language,,"[计] 高级语言, H语言"
h-lines,,[电] H线
h-m,,abbr. Haute-Marne 上马恩（法国省份）
h-network,,[电] H网络
H-number,,[化] H值; H数; Hf值(溶剂质量指标之一)
H-Oil hydrocracking,,[化] 氢-油法加氢裂化
H-Oil hydrotreating,,[化] 氢-油法加氢脱硫
h-p,,abbr. high pressure 高压
h-pad,,[电] 增耗垫
h-parameters,,[电] h参数
h-particle,,[电] h粒子
h-plane t-junction,,[电] H平面弯曲
h-r,,abbr. Haut-Rhin 上流社会; Hertzsprung-Russell 赫兹-拉塞尔
H-R diagram,,＝Hertzsprung-Russell diagram
h-radar,,[电] H雷达
H-rays,,[医] 氢核束
h-s,,abbr. hot-standby 热备用; horizon sensor 水平传感器; horizon scanner 水平扫描器; Haute-Savoie 高等皱叶甘兰
h-scan,,[电] H-平面T接头
H-section steel,,[化] 工字钢
h-shaped,s shaped in the form of the letter H, 工字形
H-shaped ecchymosis,,[医] H形瘀斑
H-space,,"[医] H间隙, 心后间隙(用X线斜透胸部时,心脏后的明朗区域)"
h-strophanthin,,"[医] 棕毒毛旋花子甙, 棕羊角拗甙"
H-substance,,"[医] H物质, 释放物质"
H-tetanase,,[医] 破伤风溶血素
h-town,,"abbr. Hartford, Connecticut 哈特福德，康涅狄格州"
h-vector,,[电] H向量
h-wave,,[电] H-波动
h.,,[医] 普朗克氏量子常数
H. band,,[医] 亨森氏盘(横纹肌盘)
H. E. D.,,[医] 皮肤单位剂量(X线)
H. G. Wells,,n. 赫伯特·乔治·威尔斯
H. H. Munro,,[网络] H. Munro
H. J. Eysenck,,[网络] H.艾森克
H. L. Mencken,,[网络] 孟肯
H. P.,,[医] 马力(功的单位)
H. pylori,,[网络] 幽门螺杆菌；幽门螺旋杆菌；幽门螺旋菌
h. s.,,[医] 临睡时
H. space,,"[医] H间隙, 霍耳茨克内希特氏间隙(椎前间隙,心后间隙)"
H. U.,,[医] 充血单位
H.+Hm,,[医] 复性远视散光
H.C.,,[医] 医院队
H.d.,,[医] 睡时
H.D.L.W.,,[医] 左耳听表距离
H.D.R.W.,,[医] 右耳听表距离
H.H. inhaler,,[医] 汗-哈二氏氧吸入器
H.k.,,[经] 香港
H.M.S. Bounty,,[网络] 美国赏金
H.O.,,"总机构, 总店, 总公司"
h.o.l.l.a.n.d,,[网络] 荷兰
h.p.,n a unit of power equal to 746 watts,n. 马力
h.p.s,plural of h.p.\nn a unit of power equal to 746 watts,(h.p. 的复数) n. 马力
H1,,[医] 氕(音撇)
H2,,"[医] 氘(音刀), 重氢"
h2-receptor,, [医]h2-受体
h2-receptors,plural of h2-receptor,(h2-receptor 的复数)  [医]h2-受体
H3,,[医] 氚(音川)
H8,"California's propositon 8 (the bill to make gay marriage illegal), as described by opponents of prop 8. Creates the word ""hate"" when read aloud.\n> I voted no on prop H8 because I am against hate.\n",
ha,n (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day,"interj. 嘿, 哈, 哈哈"
ha ha,,n. 哈哈的笑声
ha'p'orth,n the amount that can be bought for a halfpenny,"n. 仅值半便士之物, 无价值之物"
ha'penny,,abbr. halfpenny 半便士
ha-ha,n a loud laugh that sounds like a horse neighing\nn a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,interj. 哈哈\nn. 矮墙
ha-has,plural of ha-ha\nn a loud laugh that sounds like a horse neighing\nn a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,(ha-ha 的复数) interj. 哈哈\nn. 矮墙
HAA,,abbr. 重型防空武器（Heavy Anti-Aircraft）
haab,,哈布
Haab's degeneration,,[医] 哈布氏变性(角膜的网状变性)
Haab's magnet,,[医] 哈布氏磁铁(眼手术时吸眼内异物用)
Haab's reflex,,"[医] 哈布氏[瞳孔]反射, 大脑皮质性瞳孔反射"
haack,, [人名] 哈克
haacke,, [人名] 哈克
haaf,"n. The deepsea fishing for cod, ling, and tusk, off the Shetland\n   Isles.",n. (英国设得兰群岛和奥克尼群岛附近的)深海渔场
haag,, [医][=hepatitis A antigen]甲型肝炎抗原
haagen-dazs,, 哈根达斯
haak,n. A sea fish. See Hake., [人名] 哈克
haakdoring,,[网络] 呵呵
haake,, [人名] 哈基
haakon,, [人名] 哈康
haaland,, [人名] 哈兰
haale,, [地名] [德国] 哈勒
haan,, [人名] 哈恩
Haanel-Heront furnace,,[化] 哈内耳-赫朗特电炉
haar,"n. A fog; esp., a fog or mist with a chill wind.",n. [气]哈雾
haarder,,鲻鱼
Haarlem,,哈勒姆[荷兰西部城市]
haart,,abbr. highly active anti-retroviral therapy 高活性抗逆转录病毒疗法
Haas,plural of HAA,(HAA 的复数) abbr. 重型防空武器（Heavy Anti-Aircraft）
Haas's rule,,[医] 哈斯氏规律(测胎月份)
Haas-Oettel cell,,[化] 哈斯-奥提耳电池
haase,, [人名] 哈泽
Haase's rule,,[医] 哈斯氏规律(测胎月份)
haass,, [人名] 哈斯
Haastia,,[网络] 哈斯蒂亚
hab,,abbr. 航空托运单（house air bill）；始位地址块（Home Address Block）
hab corp,,abbr. habeas corpus (Latin=May you have the body) （拉丁语）人身保护令
haba,, [医][=hydroxyazo-benzene benzoic acid]羟基偶氮苯苯甲酸
Habacuc,n an Old Testament book telling Habakkuk's prophecies,n. (用于天主教拉丁文本《圣经》的英译本中)= Habakkuk
Habakkuk,n. a Hebrew minor prophet\nn. an Old Testament book telling Habakkuk's prophecies,"n. 哈巴谷(希伯来先知), <<哈巴谷书>>"
Habana,,<西> = Havana
habanera,n. music composed in duple time for dancing the habanera\nn. a Cuban dance in duple time,"n. 哈巴内拉舞, 哈巴内拉舞曲"
habaneras,,"哈巴涅拉（古巴的一种舞曲, 类似探戈）, 哈巴涅拉舞( habanera的名词复数 )"
Habanero,,"n. 哈瓦那人, 哈瓦那居民"
Habann,,[电] 哈巴恩管
habatsu,,"[单复同]n.(日本政党中的)集团,帮派"
habdabs,,[复]n.<俚>紧张不安
