word,definition,translation
M,n. the 13th letter of the Roman alphabet,"[计] 尾数, 主要, 媒体, 介质, 中等, 存储器, 方式, 分, 模, 乘法器, 兆, 毫\n[医] 容积克分子(溶液), 容模的"
M acid,,[化] M酸
M and N agglutinogens,,[医] M和N凝集原
m center,,[电] M心
m chromosome,,[医] 小染色体
M disk,,[医] M板(亨森氏盘中间的薄带)
M lines,,[医] M线(X线谱)
M phase,,有丝分裂期
m signal,,[电] 单色信号
M'Naghten rule,,[医] 米克诺滕氏条例(保护精神病人)
m'sieur,,n. (=monsieur)先生
M+Am,,[医] 复性近视散光
M+As,,[医] 近视散光
m-,,[化] 间位\n[医] 间位(化学名用)
M-acid,,[化] M酸; 1-氨基-5-萘酚-7-磺酸
m-aminobenzenesulfonic acid,,[化] 间氨基苯磺酸
m-aminobenzoic acid,,[化] 间氨基苯酸; 间氨基苯甲酸
m-aminophenol,,[化] 间氨基苯酚
m-benzoamino-semicarbazide,,[化] 间氨甲酰基苯氨基脲; 冷却精
m-bromophenol,,[化] 间溴酚
m-chloroaniline,,[化] 间氯苯胺
m-chloronitrobenzene,,[化] 间硝基氯苯
m-chlorophenol,,[化] 间氯酚
m-commerce,,n. 移动电子商务
M-concentration M,,[医] 浓度(在液体培养基内微生物的最大密度)
m-cresol,,[化] 间甲酚; 间甲苯酚
m-cresotyl,,[化] (来自cresotic acid)间甲酚酰; 邻羟间甲苯甲酰; 2-羟-3-甲基苯甲酰
m-day,,n. 动员日
m-derived filter,,[电] m-驱动滤波器
m-derived l-section filter,,[电] m驱动l段滤波器
m-diethylaminophenol,,[化] 间二乙氨基苯酚
m-dimethylaminophenol,,[化] 间二甲氨基苯酚
m-dinitrobenzene,,[化] 间二硝基苯
m-display,,[电] M显示
m-f,, [医][=(male/female)ratio]男女比率，男女比例
m-h,, [医][=Mueller-Hinton(agar)]马-欣二氏（琼脂）
"m-hydroxy-N,N'-dimethylaniline",,[化] 间二甲氨基苯酚
m-hydroxybenzoic acid,,[化] 间羟基苯酸; 间羟基苯甲酸
m-inositol,,[医] m-肌醇
m-l,, [医][=Martin-Lewis(medium)]马丁-刘易斯（培养基）
m-m,, [医][=Mackay-Marg tonometer]麦玛二氏眼压计
m-nitroaniline,,[化] 间硝基苯胺
m-nitrobenzaldehyde,,[化] 间硝基苯醛; 间硝基苯甲醛
m-nitrobenzoic acid,,[化] 间硝基苯酸; 间硝基苯甲酸
