word,definition,translation
D,n. the 4th letter of the Roman alphabet,"[计] 数据, 十进制, 数位, 位, 文档, 域\n[医] 氘, 重氢"
D and C,,扩张子宫颈及刮宫（dilation and curettage）
d cable,,[电] D电缆
D cells,,[医] D细胞(胰岛)
d channal,,[电] D通道
d flip-flop,,[电] D型正反器
d layer,,[电] D层
D notice,,国防机密通知
D region,,【物理学】D 区(离地球表面约60～90公里处的电离层的最低部分)[亦称作D layer]
D ring,,"D形环；D型钩, D型扣"
d t cut crystal,,[电] DT切向晶体
D thorium,,[医] 钍D
d' Herelle's phenomenon,,"[医] 代列耳氏现象, 图-代二氏现象(噬菌体噬菌现象)"
D'Amato's butter,,[医] 达马托氏试验(检伤寒、副伤寒、波状热、梅毒及恶性瘤)
D'Amato's reaction,,"[医] 达马托氏反应, 达马托氏试验"
D'Amato's sign,,[医] 达马托氏征(胸腔积液时的一种叩诊体征)
D'Antoni's iodine stain,,[医] 丹托尼氏碘染剂(检肠寄生虫卵)
d'Arcet's metal,,"[医] 达塞氏合金(由铋铅锡合成,供牙科充填用)"
d'Arsonval current,,[医] 达松伐耳氏电流(高频低压电流)
D'Arsonval galvanometer,,[电] 达松发尔电流计
D'Arsonval instrument,,[电] 达松发尔仪器
D'Arsonval movement,,[电] 达松发尔运动
d'arsonvalism,,"[医] 达松伐氏电疗法, 高频电疗法"
D'Espine's sign,,[医] 德斯平氏征(支气管淋巴结结核体征)
d'Herelle phenomenon,,[医] 代列耳氏现象(噬菌现象)
D'Oyly Carte,,[网络] 卡特剧院
D-,,[医] 右型
d-2-desoxyribose,,[医] d-2-脱氧核糖
d-ala,, [医][=delta aminolevulinic acid]δ-氨基γ-戊酮酸，δ-氨基乙酰丙酸
D-algorithm,,[计] D算法
D-allose,,[化] D-阿洛糖
D-altrose,,[化] D-阿卓糖
d-amino acid oxidase,,[医] d-氨基酸氧化酶
d-amylbromide,,[化] 光活性溴戊烷
d-arabinose,,[医] d-阿拉伯糖
D-araboflavin,,[化] D-阿拉伯黄素
D-bit modification,,[计] D比特修改
d-block element,,[化] d区元素
d-bornyl-alpha-bromoisovalerate,,[化] α-溴代异戊酸d-冰片酯
d-c block,,[电] 直流闭塞
d-c circuit breaker,,[电] 直流电路断路器
d-c component,,[电] 直流部份
d-c coupled,,[电] 直流交耦
d-c dump,,[电] 直流倾销
d-c generator,,[电] 直流电机
d-c inserter stage,,[电] 直流插入级
d-c leakage current,,[电] 直流漏电流
d-c noise,,[电] 直流杂音
d-cal,, [医]迪巧（含碳酸钙，维生素D）<营养类药>
D-calculus,,[计] D演算
d-camphorsulfonic acid,,[建] 右旋梓脑磺酸
D-chain trace,,[计] D链跟踪
D-chalcose,,[化] 查耳霉糖
D-channel,,"[计] 数据通道, D通道"
d-character factor,,[化] d特性因子
d-chondocurine,,"[医] d-刚多箭毒素, 南美防己素"
D-cube,,[计] D立方
D-cube calculus,,[计] D立方演算
D-cube state,,[计] D立方态
d-cycloserine,, [医]Cycloserine
d-d,,abbr. dumb-dumb 哑人之间的
D-D mixture,,[化] 滴滴混合剂
D-Day,"n date of the Allied landing in France, World War II",n. （第二次世界大战中）盟国在西欧登陆日
D-drive,,[计] D驱动
D-flip flop,,[计] D型触发器
D-forms,,"[医] 侏儒型, 侏儒菌落"
d-fructopyranose,,[建] 果糖
d-fucose,,[医] d-岩藻糖
d-glucose,,[医] d-葡萄糖
d-glucuronolactone,,[建] D-葡萄糖醛酸内酯
d-glutamic oxidase,,[医] d-谷氨酸氧化酶
d-handle,,abbr. D-shaped handle D形手柄
d-homoandrostane,,[医] 高雄烃
d-indicator,,[电] D型指示器
d-isomer,,[化] 右旋体
d-j,,abbr. Dow Jones & Co <美国>道·琼斯公司; Dow-Jones (average) 道·琼斯股票平均价格指数
d-l,, [医][=dextro-levo]右旋-左旋
D-L system of nomenclature,,[化] D-L命名体系
d-lactic acid,,[医] 右旋乳酸
d-latch,," [计]D门锁, D锁存器"
d-latches,plural of d-latch,"(d-latch 的复数)  [计]D门锁, D锁存器"
D-layer,,n. D层（电离层的最下层）
d-limonene,,[化] 香芹烯
d-line,, [医][掌纹]D-线
d-link,, [计]台湾友讯科技公司
D-lock,,[网络] 轮胎锁
D-mannose-6-phosphate,,[化] D-甘露糖-6-磷酸
d-mark,,德国马克
