word,definition,translation
U,n. the 21st letter of the Roman alphabet\ns. (chiefly British) of or appropriate to the upper classes especially in language use,"a. 适于各种年龄观众的\nn. 适合各种年龄的人观看的影片\n[计] 装置, 部件, 单元, 更新, 用户"
u format,,[电] U格式
U got no jams,"An insult.\n\nClaiming that someone ""got no jams"" is basically saying that said person is no fun or anything else along those lines.\n\nIt's actual origin is unknown, however it quickly became popular when the rapper and leader of the Korean hip-hop boygroup [Bangtan Boys] ([BTS]), Rap Monster (RapMon/Kim Namjoo), turned to one of his members (Jimin) during a flight to L.A and said that he ""got no jams""\n> (Jimin being dumb and a camera whore)\n> J-Hope: Oh, Jimin is very no fun...\n> Rap Monster: Jimin, [U got no jams].\n",
u interface,,[电] U界面
u mad,"see [u mad doggie]\r\n\r\naddition: This phrase was coined by Cam'Ron on the Bill O'Rielly show.  The Harlem-bred rapper used it, when Bill began to get upset to further piss him off.\n> 'Please, let me finish Cam'Ron.  Let me finish!'\n> 'Aha Aha!  U Mad!  U Mad!'\n",
U mad bro?,A phrase trolls use to piss off an already mad person even more.\n> Person 1:WTF THIS IS THE DUMBEST SHIT THREAD EVER HOLY SHIT OMG IM SO FUCKING MAD IM GOING TO KILL YOU ALL!!!!1!!\n> Person 2:lol U mad bro?\n> Person 1: FFFFFFUUUUUUUUUUUUUUUUUUUUUUUUU\n,
U tube manometer,,[医] U形管[液体]压力计
U tubes,,[医] U形管
u unit,,[医] 中子单位(旧名)
U Wot M8,"It is a term that British people use. People outside of the UK think it sounds ridiculous, so the modern stereotype or newfag would think that British people have very poor grammar. It basically means, ""You What Mate"". Those 3 words don't even make a proper sentence, therefore it is a funny thing to say and a way to make fun of Brits'\n> Alfred: ...\n> Benjamin: U WOT M8\n",
u-bend,," 马蹄弯头, 马蹄形弯头"
u-bends,plural of u-bend,"(u-bend 的复数)  马蹄弯头, 马蹄形弯头"
U-boat,n a submersible warship usually armed with torpedoes,n. 潜水艇
U-boats,plural of U-boat\nn a submersible warship usually armed with torpedoes,(U-boat 的复数) n. 潜水艇
u-bolt,,[电] U形螺栓
u-bolts,, 骑马螺栓
U-bomb,,n. 铀原子弹
u-drive,,[网络] 优碟；驱动器
U-form elbow,,[化] U形肘管
U-form elbow joint,,[化] U形肘节
u-frame,,abbr. U-shaped frame U型设计结构
U-gage,,[化] U型压力表
U-gauge,,[化] U型压力表
u-groove,,[机] U构
u-joint,,abbr. U-shaped joint(s) U 型接缝
u-law,,[电] U法则
u-packing,,[机] U形皮填科
u-s,,abbr. upper-stage 上级，顶级
U-shaped,s shaped in the form of the letter U,a. U字形的
u-test,, u检验
U-tube,,[化] U型换热管
U-tube heat exchanger,,[化] U型管换热器
U-tube manometer,,[化] U型管压力计
U-turn,n. complete reversal of direction of travel,"n. U形转弯, (喻)方向的改变"
U-turns,n. complete reversal of direction of travel,"n. (车、船等的)U形转弯；掉头；180度转换, 大转变\nvi. 作U形转弯"
u-v,," [计]= UltraViolet,紫外线"
U-value,,u值
U.,,[医] 单位
U. S. Air Force,,[网络] 美国空军
U. S. Army,,[网络] 美国陆军
U. S. Army Special Forces,,[网络] 美国陆军特种部队
U. S. Coast Guard,,[网络] 美国海岸自卫队
U. S. Code,,[网络] 美国法典
U. S. D.,,[医] 美国处方集
U. S. P. unit,,[医] 美国药典单位
