word,definition,translation
I,n. the 9th letter of the Roman alphabet,"pron. 我\n[计] 电流, 中断, 指令, 指示符"
I am certain that...,,我确信...
I am not certain whether...,,我不能确定是否...
I am sorry,,对不起
I am very busy,,我很忙
I asked him a lot of questions,,我问过他好多问题
I asked him how old he was,,我问他多大年纪了
I asked him if he spoke English,,我问他是不是会讲英语
I beam,,[化] 工字梁
I beg your pardon,,对不起
I believe this shirt is mine,,我相信这件衬衣是我的
I bet,,我确信
I broke my leg,,我的腿折断了
I can come any day except Thursday,,"任何一天我都能来, 只有星期四例外"
I Chronicles,,[网络] 历代志上
I Corinthians,,[网络] 哥林多前书；林前；歌林多前书
I cyst,,"[医] 嗜碘阿米巴囊, 布[奇利]氏嗜碘变形虫囊"
I dare say,,"我想, 大概"
i demodulator,,[电] I形解调器
I did not bargain for that,,"原来不是那样约定的,我原来没有预料到这一点"
I disk,,"[医] I盘, 明板, J盘"
I enclosed some photographs in my letter,,我在信中附寄了几张照片
I Esdra,,[网络] 我埃斯拉
I fear,,"恐怕, 怕是"
I formation,,【美式橄榄球】形进攻阵式
I got tired of working in the garden,,我对于园艺工作已经厌倦了
I grew up right here in the neighborhood,,我就在这儿附近长大的
I guess,,"我想,我认为"
I had breakfast two hours ago,,两个钟头前我就吃过早餐了
I has been engaged for two months,,我已经订婚两个月了
I have a hunch that...,,我总感到...
I have both a radio and phonograph,,收音机和唱机两样我都有
I have heard say that...,,我听说...
I have some dress to send to the laundry,,我有几件衣服要送洗衣店去洗
I have to apply for a passport,,我必须去申请一本护照
I have to hang up now,,现在我必须要挂电话了
I have two suits to send to the cleaners,,我有两套西装要送干洗店去洗
I Heard You Using the Microwave,"This means that somebody was too loud during sex the night before.\n\n'Microwave' refers to the coitus that was had.\n> Justine: Good morning, guys! How did you sleep?\n> Carla: Not very well.\n> Justine: why?\n> Carla: I heard you using the microwave last night..\n> Justine: Oh dear..\n> 'You're just jealous because you heard HER using the microwave but you can't handle that heat!'\n",
I hope so,,但愿如此
I hope you have a good time on your trip,,我希望你在旅途上玩得愉快
I John,,[网络] 约翰壹书；约翰一书；约一
I just glanced at the headlines,,我只是看了看标题而已
i just wanna talk to him,"when you are going to punch or hurt someone\n> Guy to other guy, ""nah i just wanna talk to him""\n",
I Kings,,[网络] 列王记上；列王纪上
I know,,我知道
